idx	x	y	z	Ex_ref	Ey_ref	Ez_ref	Ew_x	Ew_y	Ew_z
0	0.0	0.0	0.0032248049595676263	-0.0	0.9459880322565118	201.28057460182143	0.0	0.0	0.0
1	0.0	-0.0008227404487665066	0.002742747106163061	-0.0	-1.924719172053996	183.31762334917295	-0.0	-22.067082488633332	9.726461139022934
0	0.0	0.0	0.0032248049595676263	-0.0	4.466823292181161	201.35498602448672	0.0	0.0	0.0
1	0.0	-0.0007891592059597103	0.002742747106163061	-0.0	-9.118687207449096	183.39321503670965	-0.0	-22.943282745504437	11.103727560664389
0	0.0	0.0	0.0032248049595676263	-0.0	7.021283652045413	201.52200892278216	0.0	0.0	0.0
1	0.0	-0.0007555779631529142	0.002742747106163061	-0.0	-14.463759308237258	183.55966533341225	-0.0	-23.615241601670164	12.586067211509041
0	0.0	0.0	0.0032248049595676263	-0.0	8.180387798799263	201.76592434536605	0.0	0.0	0.0
1	0.0	-0.000721996720346118	0.002742747106163061	-0.0	-17.169654712853326	183.79266188567865	-0.0	-24.0500222732833	14.16594673412117
0	0.0	0.0	0.0032248049595676263	-0.0	8.104065237857586	202.06240268205752	0.0	0.0	0.0
1	0.0	-0.0006884154775393218	0.002742747106163061	-0.0	-17.650479467890882	184.05262923646842	-0.0	-24.217595591525875	15.832885684929424
0	0.0	0.0	0.0032248049595676263	-0.0	7.800942562702153	202.37887474943824	0.0	0.0	0.0
1	0.0	-0.0006548342347325257	0.002742747106163061	-0.0	-18.112288311341153	184.2830091376175	-0.0	-24.092058741634794	17.573406141937262
0	0.0	0.0	0.0032248049595676263	-0.0	7.956801153577566	202.74509588420895	0.0	0.0	0.0
1	0.0	-0.0006212529919257294	0.002742747106163061	-0.0	-20.214414912947674	184.46200938670935	-0.0	-23.652804814624353	19.371079147238895
0	0.0	0.0	0.0032248049595676263	-0.0	7.968294989035191	203.2224379605767	0.0	0.0	0.0
1	0.0	-0.0005876717491189332	0.002742747106163061	-0.0	-22.80896780174944	184.63320393859473	-0.0	-22.88558732759256	21.206676246385058
0	0.0	0.0	0.0032248049595676263	-0.0	7.864448017752776	203.7930224533939	0.0	0.0	0.0
1	0.0	-0.0005540905063121371	0.002742747106163061	-0.0	-25.87593673262786	184.81252576201274	-0.0	-21.783424606912902	23.058430264600204
0	0.0	0.0	0.0032248049595676263	-0.0	7.677402971437806	204.4337119760751	0.0	0.0	0.0
1	0.0	-0.0005205092635053408	0.002742747106163061	-0.0	-29.37989183461669	185.0005910445663	-0.0	-20.34729283888249	24.902404722901565
0	0.0	0.0	0.0032248049595676263	-0.0	7.43929404754041	205.11767956647776	0.0	0.0	0.0
1	0.0	-0.00048692802069854463	0.002742747106163061	-0.0	-33.2746144521608	185.1769897719814	-0.0	-18.58656366707914	26.712966172405995
0	0.0	0.0	0.0032248049595676263	-0.0	7.172280481766043	205.8231702606213	0.0	0.0	0.0
1	0.0	-0.0004533467778917485	0.002742747106163061	-0.0	-37.527119669641955	185.29817461011112	-0.0	-16.519152229351043	28.463348484943978
0	0.0	0.0	0.0032248049595676263	-0.0	6.88012917098749	206.54709823756923	0.0	0.0	0.0
1	0.0	-0.00041976553508495237	0.002742747106163061	-0.0	-42.11535882309278	185.30136153403623	-0.0	-14.171354038593119	30.126293084335853
0	0.0	0.0	0.0032248049595676263	-0.0	6.560858326766009	207.30435737611438	0.0	0.0	0.0
1	0.0	-0.000386184292278156	0.002742747106163061	-0.0	-46.96704773875745	185.11278599057997	-0.0	-11.577363482362527	31.67474454703268
0	0.0	0.0	0.0032248049595676263	-0.0	6.214504930047024	208.12362522993092	0.0	0.0	0.0
1	0.0	-0.0003526030494713599	0.002742747106163061	-0.0	-51.933698270549385	184.6574571855964	-0.0	-8.77848214912728	33.08257724323574
0	0.0	0.0	0.0032248049595676263	-0.0	5.84235491685899	209.04256963551015	0.0	0.0	0.0
1	0.0	-0.00031902180666456377	0.002742747106163061	-0.0	-56.812845062090986	183.86952359435605	-0.0	-5.822040777030574	34.325325996122686
0	0.0	0.0	0.0032248049595676263	-0.0	5.469055371385018	210.08362794033403	0.0	0.0	0.0
1	0.0	-0.0002854405638577674	0.002742747106163061	-0.0	-61.47907043847789	182.6950012692359	-0.0	-2.760073411649113	35.38089231871606
0	0.0	0.0	0.0032248049595676263	-0.0	5.167629835054138	211.20715883259834	0.0	0.0	0.0
1	0.0	-0.0002518593210509713	0.002742747106163061	-0.0	-65.8571608339306	181.08514351983814	-0.0	0.352204578389258	36.23019778408854
0	0.0	0.0	0.0032248049595676263	-0.0	4.996632401263112	212.29587441280404	0.0	0.0	0.0
1	0.0	-0.00021827807824417516	0.002742747106163061	-0.0	-69.6897785748042	178.98390514697482	-0.0	3.4580524844738947	36.85775754851349
0	0.0	0.0	0.0032248049595676263	-0.0	4.861574990791501	213.22903408706003	0.0	0.0	0.0
1	0.0	-0.00018469683543737903	0.002742747106163061	-0.0	-72.6170467898371	176.28584224317092	-0.0	6.500924854365442	37.252149940110414
0	0.0	0.0	0.0032248049595676263	-0.0	4.872855344246062	214.0312204329116	0.0	0.0	0.0
1	0.0	-0.0001511155926305827	0.002742747106163061	-0.0	-73.50921922618461	172.8906845797665	-0.0	9.426183804531332	37.406362216491225
0	0.0	0.0	0.0032248049595676263	-0.0	4.904466597082183	214.73786150432915	0.0	0.0	0.0
1	0.0	-0.00011753434982378656	0.002742747106163061	-0.0	-69.95299802466604	168.95522418666175	-0.0	12.182730602121648	37.317997867555135
0	0.0	0.0	0.0032248049595676263	-0.0	4.273678880088423	215.33207835563167	0.0	0.0	0.0
1	0.0	-8.395310701699043e-05	0.002742747106163061	-0.0	-59.29606347522304	165.11422921525553	-0.0	14.72448845413303	36.98933690585007
0	0.0	0.0	0.0032248049595676263	-0.0	2.899941510561741	215.78410117271224	0.0	0.0	0.0
1	0.0	-5.0371864210194085e-05	0.002742747106163061	-0.0	-40.15861513250179	162.08764209133923	-0.0	17.01167646774831	36.42724710622538
0	0.0	0.0	0.0032248049595676263	-0.0	1.0077226896500737	216.03127282938547	0.0	0.0	0.0
1	0.0	-1.6790621403397956e-05	0.002742747106163061	-0.0	-14.239077254865842	160.42758530981513	-0.0	19.011825886717464	35.64295075901232
0	0.0	0.0	0.0032248049595676263	-0.0	-1.0077226896500873	216.03127282938547	0.0	0.0	0.0
1	0.0	1.6790621403398173e-05	0.002742747106163061	-0.0	14.239077254866025	160.42758530981513	-0.0	-19.011825886717457	35.64295075901233
0	0.0	0.0	0.0032248049595676263	-0.0	-2.899941510561753	215.78410117271224	0.0	0.0	0.0
1	0.0	5.03718642101943e-05	0.002742747106163061	-0.0	40.15861513250194	162.08764209133923	-0.0	-17.01167646774829	36.42724710622537
0	0.0	0.0	0.0032248049595676263	-0.0	-4.273678880088431	215.33207835563167	0.0	0.0	0.0
1	0.0	8.395310701699065e-05	0.002742747106163061	-0.0	59.296063475223136	165.11422921525556	-0.0	-14.724488454133015	36.989336905850074
0	0.0	0.0	0.0032248049595676263	-0.0	-4.9044665970821875	214.73786150432915	0.0	0.0	0.0
1	0.0	0.00011753434982378678	0.002742747106163061	-0.0	69.9529980246661	168.95522418666178	-0.0	-12.18273060212163	37.31799786755514
0	0.0	0.0	0.0032248049595676263	-0.0	-4.872855344246061	214.0312204329116	0.0	0.0	0.0
1	0.0	0.0001511155926305829	0.002742747106163061	-0.0	73.50921922618463	172.89068457976657	-0.0	-9.426183804531318	37.406362216491246
0	0.0	0.0	0.0032248049595676263	-0.0	-4.861574990791501	213.22903408706003	0.0	0.0	0.0
1	0.0	0.00018469683543737903	0.002742747106163061	-0.0	72.6170467898371	176.28584224317092	-0.0	-6.500924854365442	37.252149940110414
0	0.0	0.0	0.0032248049595676263	-0.0	-4.996632401263113	212.29587441280404	0.0	0.0	0.0
1	0.0	0.00021827807824417538	0.002742747106163061	-0.0	69.68977857480417	178.98390514697485	-0.0	-3.458052484473875	36.85775754851348
0	0.0	0.0	0.0032248049595676263	-0.0	-5.1676298350541385	211.20715883259834	0.0	0.0	0.0
1	0.0	0.0002518593210509715	0.002742747106163061	-0.0	65.85716083393059	181.08514351983814	-0.0	-0.35220457838923847	36.23019778408853
0	0.0	0.0	0.0032248049595676263	-0.0	-5.46905537138502	210.08362794033403	0.0	0.0	0.0
1	0.0	0.00028544056385776764	0.002742747106163061	-0.0	61.47907043847786	182.6950012692359	-0.0	2.760073411649132	35.38089231871604
0	0.0	0.0	0.0032248049595676263	-0.0	-5.842354916858992	209.04256963551012	0.0	0.0	0.0
1	0.0	0.000319021806664564	0.002742747106163061	-0.0	56.812845062090936	183.86952359435605	-0.0	5.822040777030594	34.32532599612268
0	0.0	0.0	0.0032248049595676263	-0.0	-6.214504930047024	208.12362522993092	0.0	0.0	0.0
1	0.0	0.0003526030494713599	0.002742747106163061	-0.0	51.933698270549385	184.6574571855964	-0.0	8.77848214912728	33.08257724323574
0	0.0	0.0	0.0032248049595676263	-0.0	-6.560858326766013	207.30435737611438	0.0	0.0	0.0
1	0.0	0.00038618429227815624	0.002742747106163061	-0.0	46.9670477387574	185.11278599057997	-0.0	11.57736348236255	31.674744547032677
0	0.0	0.0	0.0032248049595676263	-0.0	-6.88012917098749	206.54709823756923	0.0	0.0	0.0
1	0.0	0.0004197655350849526	0.002742747106163061	-0.0	42.11535882309275	185.30136153403623	-0.0	14.171354038593131	30.12629308433584
0	0.0	0.0	0.0032248049595676263	-0.0	-7.172280481766043	205.8231702606213	0.0	0.0	0.0
1	0.0	0.0004533467778917485	0.002742747106163061	-0.0	37.527119669641955	185.29817461011112	-0.0	16.519152229351043	28.463348484943978
0	0.0	0.0	0.0032248049595676263	-0.0	-7.439294047540411	205.11767956647776	0.0	0.0	0.0
1	0.0	0.00048692802069854484	0.002742747106163061	-0.0	33.27461445216077	185.1769897719814	-0.0	18.586563667079147	26.71296617240597
0	0.0	0.0	0.0032248049595676263	-0.0	-7.677402971437808	204.4337119760751	0.0	0.0	0.0
1	0.0	0.0005205092635053412	0.002742747106163061	-0.0	29.379891834616636	185.0005910445663	-0.0	20.347292838882503	24.902404722901533
0	0.0	0.0	0.0032248049595676263	-0.0	-7.864448017752776	203.7930224533939	0.0	0.0	0.0
1	0.0	0.0005540905063121371	0.002742747106163061	-0.0	25.87593673262786	184.81252576201274	-0.0	21.783424606912902	23.058430264600204
0	0.0	0.0	0.0032248049595676263	-0.0	-7.968294989035192	203.2224379605767	0.0	0.0	0.0
1	0.0	0.0005876717491189334	0.002742747106163061	-0.0	22.808967801749414	184.63320393859473	-0.0	22.885587327592575	21.20667624638505
0	0.0	0.0	0.0032248049595676263	-0.0	-7.956801153577566	202.74509588420895	0.0	0.0	0.0
1	0.0	0.0006212529919257298	0.002742747106163061	-0.0	20.214414912947635	184.46200938670933	-0.0	23.652804814624353	19.371079147238863
0	0.0	0.0	0.0032248049595676263	-0.0	-7.800942562702153	202.37887474943824	0.0	0.0	0.0
1	0.0	0.0006548342347325257	0.002742747106163061	-0.0	18.112288311341153	184.2830091376175	-0.0	24.092058741634794	17.573406141937262
0	0.0	0.0	0.0032248049595676263	-0.0	-8.104065237857588	202.06240268205752	0.0	0.0	0.0
1	0.0	0.000688415477539322	0.002742747106163061	-0.0	17.650479467890886	184.05262923646842	-0.0	24.21759559152587	15.832885684929412
0	0.0	0.0	0.0032248049595676263	-0.0	-8.180387798799263	201.76592434536605	0.0	0.0	0.0
1	0.0	0.000721996720346118	0.002742747106163061	-0.0	17.169654712853326	183.79266188567865	-0.0	24.0500222732833	14.16594673412117
0	0.0	0.0	0.0032248049595676263	-0.0	-7.021283652045407	201.52200892278216	0.0	0.0	0.0
1	0.0	0.0007555779631529143	0.002742747106163061	-0.0	14.463759308237247	183.55966533341225	-0.0	23.615241601670164	12.586067211509038
0	0.0	0.0	0.0032248049595676263	-0.0	-4.466823292181135	201.35498602448672	0.0	0.0	0.0
1	0.0	0.0007891592059597107	0.002742747106163061	-0.0	9.11868720744904	183.39321503670962	-0.0	22.943282745504433	11.103727560664376
